Column1;Rank;Mark;Competitor;DOB;Nat;Pos;Unnamed: 6;Venue;Date;Results Score
83;4881;28:56.7;Dickson NYAKUNDI;12/04/1995;KEN;3;;Machakos (KEN);16/12/2017;1046
84;4885;28:56.71;Hayato SAITO;09/01/1989;JPN;22;;Kobe (JPN);21/04/2013;1046
85;4886;28:56.72;Samuel MACHARIA;;KEN;11;;Nairobi (KEN);05/07/2008;1046
86;4887;28:56.74;Giovanni RIZZO;28/07/1960;GBR;15;;Sheffield (GBR);15/06/1992;1046
87;4888;28:56.75;William VAN DIJCK;24/01/1961;BEL;1;;Lommel (BEL);24/04/1993;1046
88;4889;28:56.78;Mitsutaka TOMITA;30/05/1993;JPN;3f10;;Kanagawa (JPN);21/11/2015;1046
89;4890;28:56.79;Crosby FREEMAN;19/02/1984;USA;12f2;;Palo Alto, CA (USA);01/05/2010;1046
90;4891;28:56.8;József SÜTŐ;09/09/1937;HUN;6;;Budapest (HUN);17/06/1967;1046
91;4892;28:56.80;Yehezkel HALIFA;05/05/1964;ISR;1;;Durham, NC (USA);22/04/1988;1046
92;4892;28:56.80;Juan José CASTILLO;13/03/1968;PER;2;;Lima (PER);03/07/1993;1046
93;4892;28:56.80;Kenji HIGASHINO;29/09/1985;JPN;43;;Yokohama (JPN);02/12/2007;1046
94;4894;28:56.8;Willy Karuki MWANGI;30/05/1980;KEN;2;;Nairobi (KEN);13/06/2009;1046
95;4894;28:56.8;Oukhrid LHOUSSAINE;23/06/1984;MAR;2;;Carate Brianza (ITA);15/09/2012;1046
96;4897;28:56.81;Tomasz GRYCKO;16/09/1992;POL;1;;Łomża (POL);28/04/2018;1046
97;4898;28:56.82;Sławomir GURNY;02/09/1964;POL;2;;Poznan (POL);28/05/1994;1046
98;4899;28:56.84;Azaria KIRWA;;KEN;6h1;;Jacksonville, FL (USA);23/05/2019;1046
99;4900;28:56.85;Kiel UHL;19/03/1987;USA;2f2;;Palo Alto, CA (USA);28/03/2009;1046
0;4901;28:56.86;Yoshiki OTSUKA;04/12/1986;JPN;10f12;;Yokohama (JPN);01/12/2012;1046
1;4902;28:56.89;Víctor LÓPEZ;26/02/1968;ESP;29;;Lisboa (POR);04/04/1998;1046
2;4903;28:56.9;Elijah Mwaniki MBOGO;01/01/1984;KEN;2;;Zanzibar (TAN);05/07/2003;1046
3;4904;28:56.91;Joakim JOHANSSON;12/01/1976;SWE;4;;Helsinki (FIN);24/08/2002;1046
4;4904;28:56.91;Chris KWIATKOWSKI;;USA;6f1;;Walnut, CA (USA);14/04/2016;1046
5;4906;28:56.93;Teruhiko NAKANO;04/03/1980;JPN;4;;Shizuoka (JPN);05/10/2002;1046
6;4907;28:56.95;Cihat ULUS;01/02/1990;TUR;4;;Mersin (TUR);02/05/2015;1046
7;4908;28:56.99;Koshi WATANABE;26/07/1990;JPN;17f9;;Yokohama (JPN);23/10/2010;1046
8;4909;28:57.0;Viktor AKHMETZYANOV;12/10/1949;URS;18f1;;Moskva (URS);10/07/1973;1046
9;4909;28:57.0;Hernando HERNANDEZ;01/01/1960;COL;12;;Walnut, CA (USA);24/04/1982;1046
10;4909;28:57.0;Norihito MATSUI;25/07/1971;JPN;7;;Hachioji (JPN);26/11/1995;1046
11;4912;28:57.01;Hiroyuki KAMIGUCHI;31/08/1977;JPN;6f17;;Yokohama (JPN);29/11/2003;1046
12;4912;28:57.01;Sergey RYAZANTCEV;08/08/1984;RUS;1;;Tula (RUS);13/06/2005;1046
13;4914;28:57.02;Lucas STALNAKER;23/03/1995;USA;12;;Raleigh, NC (USA);29/03/2019;1046
14;4915;28:57.04;Ryohei KAWAKAMI;13/06/1989;JPN;14f2;;Tokyo (JPN);24/11/2012;1046
15;4915;28:57.04;Vincent Kiprotich MUTAI;03/11/1994;KEN;3f1;;Moi International Sports Centre, Kasarani, Nairobi (KEN);12/03/2021;1046
16;4917;28:57.05;Tylor THATCHER;;USA;26f1;;Palo Alto, CA (USA);04/04/2014;1046
17;4918;28:57.06;Mituhiro ANJO;26/10/1977;JPN;25;;Hachioji (JPN);27/11/2004;1046
18;4919;28:57.07;Alfredo MONTOYA;15/04/1970;ESP;5;;Mataró (ESP);14/05/1994;1046
19;4919;28:57.07;Mark Kipsang TOO;18/08/1974;KEN;7;;Parma (ITA);17/06/1996;1046
20;4919;28:57.07;Mabuthile LEBOPO;25/12/1975;LES;7;;Port Elizabeth (RSA);16/02/2001;1046
21;4922;28:57.1;Kemei CHEMAIMAK;01/01/1963;KEN;3;;Mombasa (KEN);06/07/1979;1046
22;4922;28:57.1;Delfim MOREIRA;11/12/1955;POR;7;;Lisboa (POR);30/05/1981;1046
23;4922;28:57.1;Ivan BABARYKA;11/11/1982;UKR;4;;Kiev (UKR);15/06/2006;1046
24;4922;28:57.1;Samuel RUSSOM;01/01/1991;ERI;1f1;;Höganäs Sportcenter, Höganäs (SWE);11/07/2020;1046
25;4926;28:57.12;Łukasz OSLIZLO;14/05/1989;POL;2;;Mikołow (POL);21/04/2012;1046
26;4927;28:57.13;Barry WATSON;13/02/1944;GBR;9;;London (GBR);12/07/1974;1046
27;4928;28:57.15;Masanobu YAMAGUCHI;25/03/1967;JPN;5f1;;Odawara (JPN);13/10/1990;1045
28;4928;28:57.15;Laban SIALO;06/06/1983;KEN;1;;Walnut, CA (USA);19/04/2012;1045
29;4930;28:57.17;Andrew CAINE;17/06/1977;GBR;2;;Watford (GBR);05/07/2003;1045
30;4931;28:57.19;Bruno LE STUM;25/12/1959;FRA;14;;Stockholm (SWE);03/07/1989;1045
31;4931;28:57.19;Rob O'DONNELL;15/08/1969;AUS;13;;Melbourne (AUS);14/12/1995;1045
32;4931;28:57.19;Dereje CHEKOLA;01/04/2000;ISR;7;;Hadar Yosef Stadium, Tel Aviv (ISR);22/04/2021;1045
33;4934;28:57.2;Bernd-Dieter HECHT;05/10/1938;GER;2;;Berlin (GER);01/07/1966;1045
34;4934;28:57.2;Wolfgang HANSCHKE;09/01/1941;GER;4;;Erfurt (GER);10/06/1970;1045
35;4934;28:57.2;Kerry PEARCE;10/12/1946;AUS;1;;Milano (ITA);01/07/1971;1045
36;4934;28:57.2;Marcel LECHEVALLIER;12/09/1940;FRA;6;;Vittel (FRA);11/06/1972;1045
37;4934;28:57.2;Japhet Kipyegon KORIR;30/06/1993;KEN;1;;Nakuru (KEN);23/05/2014;1045
38;4939;28:57.20;Anthony RUSSO;;USA;2;;Franklin Field (Univ. of Penn.), Philadelphia, PA (USA);24/04/2021;1045
39;4940;28:57.22;Henryk WIĘZIK;21/12/1945;POL;4;;Warszawa (POL);28/08/1976;1045
40;4940;28:57.22;Junichi TAKITA;30/10/1967;JPN;19;;Tokyo (JPN);18/06/1989;1045
41;4942;28:57.25;Tyler UDLAND;18/03/1992;USA;27f1;;Palo Alto, CA (USA);04/04/2014;1045
42;4943;28:57.26;Michał BARTOSZAK;21/06/1970;POL;2;;Szczecin (POL);08/06/2002;1045
43;4944;28:57.27;Pavel ANDREYEV;20/04/1970;RUS;4;;St. Petersburg (RUS);30/06/1995;1045
44;4945;28:57.28;Danny Tshidind KASSAP;24/06/1982;COD;3;;Hamilton (CAN);06/07/2003;1045
45;4945;28:57.28;Daniel GONIA;10/07/1988;USA;6;;Walnut, CA (USA);16/04/2009;1045
46;4945;28:57.28;Alberto SÁNCHEZ;19/10/1988;ESP;15f1;;Burjassot (ESP);13/04/2019;1045
47;4948;28:57.29;Mukhamet NAZIPOV;10/09/1961;URS;1;;Moskva (URS);05/09/1988;1045
48;4948;28:57.29;Tony LEONARD;30/10/1958;GBR;8;;Birmingham (GBR);23/06/1989;1045
49;4950;28:57.30;Brian CARLTON;07/12/1962;USA;1;;Kalamazoo, MI (USA);16/05/1985;1045
50;4950;28:57.30;Hiroyuki NODA;;JPN;31;;Yokohama (JPN);26/11/2006;1045
51;4952;28:57.31;Levi Omari MATEBO;03/11/1989;KEN;4;;Nairobi (KEN);02/06/2010;1045
52;4953;28:57.32;Tomohisa HAGINO;02/09/1975;JPN;5;;Yokohama (JPN);14/12/2003;1045
53;4953;28:57.32;Ken YAMAKI;;JPN;2f4;;Yokohama (JPN);20/11/2010;1045
54;4955;28:57.34;Yoshiaki TACHIBANA;23/10/1979;JPN;13;;Yokohama (JPN);24/10/2004;1045
55;4956;28:57.35;Zakaria BOUDAD;02/10/1993;MAR;3;;Rabat (MAR);04/06/2016;1045
56;4957;28:57.37;Jim MACK;01/01/1958;AUS;13;;Melbourne (AUS);18/12/1986;1045
57;4958;28:57.38;Nobuyuki HARADA;04/03/1979;JPN;49;;Kobe (JPN);24/04/2005;1045
58;4959;28:57.4;Georgi TIKHOV;29/09/1942;BUL;4;;Warszawa (POL);01/05/1972;1045
59;4959;28:57.4;Andy CATTON;18/06/1953;GBR;1;;London (GBR);09/04/1980;1045
60;4959;28:57.4;Gabriel CRISP;06/05/1951;RSA;3;;Stellenbosch (RSA);16/04/1982;1045
61;4959;28:57.4;Naoki YOSHIMURA;09/05/1974;JPN;4f9;;Yokohama (JPN);08/12/1996;1045
62;4963;28:57.40;Paul JELLEMA;07/07/1984;USA;5;;Eugene, OR (USA);06/06/2009;1045
63;4964;28:57.41;Akihiko NAKANO;;JPN;1f2;;Tokyo (JPN);29/11/2008;1045
64;4965;28:57.44;Paul ALLE;04/07/1956;FRA;6;;Poitiers (FRA);20/05/1983;1045
65;4965;28:57.44;Brendan O'NEILL;01/11/1988;IRL;9f1;;Palo Alto, CA (USA);29/03/2013;1045
66;4967;28:57.49;Bailin LIU;13/05/1992;CHN;6;;Kunshan (CHN);22/09/2012;1045
67;4968;28:57.5;John GERHARDT;15/12/1959;USA;13;;Walnut, CA (USA);24/04/1982;1045
68;4968;28:57.5;Hideyuki OE;14/05/1969;JPN;3f2;;Hachioji (JPN);28/11/1993;1045
69;4970;28:57.51;Vincent RONO;22/06/1986;KEN;1;;Lafayette, LA (USA);11/05/2007;1045
70;4970;28:57.51;Jim ROSA;07/04/1993;PUR;6;;Eugene, OR (USA);11/06/2014;1045
71;4970;28:57.51;Kiyoshi NAGATO;13/01/1997;JPN;1f2;;Fukagawa (JPN);06/07/2017;1045
72;4973;28:57.53;Audace NIYONGABO;18/07/1976;BDI;4;;Hyderabad (IND);18/10/2007;1045
73;4974;28:57.55;Marcos Antonio SEIJO;30/04/1971;ESP;5;;Mataró (ESP);15/07/2001;1045
74;4974;28:57.55;Yusaku NOMURA;08/03/2001;JPN;11;;Aoba Park Athletic Field, Chitose (JPN);18/07/2020;1045
75;4976;28:57.60;Yutaka TAKETOMI;16/02/1954;JPN;4;;Saarijärvi (FIN);26/06/1981;1045
76;4977;28:57.6;Mike MCGUIRE;09/04/1961;USA;6;;Knoxville, TN (USA);09/04/1982;1045
77;4977;28:57.6;Wilson ONSARE;15/06/1976;KEN;1;;Nairobi (KEN);27/06/2003;1045
78;4977;28:57.6;Jackson KAKORI;01/01/1983;KEN;2;;Nairobi (KEN);21/06/2008;1045
79;4977;28:57.6;James MELI;01/01/1978;KEN;3;;Nairobi (KEN);21/06/2008;1045
80;4981;28:57.61;José Francisco MONDRAGON CABALLERO;20/02/1977;MEX;9;;SIAC Homebush, Sydney (AUS);21/08/1996;1045
81;4981;28:57.61;Hirokazu SAITO;;JPN;3f4;;Yokohama (JPN);20/11/2010;1045
82;4981;28:57.61;Ben VEATCH;01/06/1998;USA;7h1;;Jacksonville, FL (USA);23/05/2019;1045
83;4981;28:57.61;Masahiro MEKATA;23/02/2001;JPN;4f3;;Kokushikan University Stadium, Tama (JPN);31/10/2020;1045
84;4985;28:57.62;Kaishi DAIHO;01/06/1998;JPN;11f2;;Universiade Commemorative Stadium, Kobe (JPN);24/04/2021;1045
85;4986;28:57.64;Robert MOLKE;28/01/1991;USA;28f1;;Palo Alto, CA (USA);04/04/2014;1045
86;4987;28:57.66;Ryo NAKAGAWA;25/09/1992;JPN;4f4;;Tokyo (JPN);30/06/2012;1045
87;4988;28:57.67;Tsuyoshi NAKAGAWA;17/08/1984;JPN;19;;Yokohama (JPN);29/10/2011;1045
88;4988;28:57.67;Hiroki ITO;01/01/1994;JPN;9f4;;Hachioji (JPN);26/11/2016;1045
89;4990;28:57.69;Peter GILMORE;11/05/1977;USA;11;;Palo Alto, CA (USA);29/03/2002;1045
90;4991;28:57.7;Abel GISEMBA;07/07/1971;KEN;1;;Kakamega (KEN);24/05/1991;1045
91;4991;28:57.7;Yukio TSUJIHARA;18/08/1977;JPN;11;;Yokohama (JPN);04/12/1999;1045
92;4993;28:57.70;Jemale YEMER;;ETH;;;Addis Abeba (ETH);24/04/2016;1045
93;4992;28:57.7;Hailemariyam TEGEGN;01/01/1997;ETH;12;;Addis Abeba (ETH);16/05/2017;1045
94;4995;28:57.74;Stephen PHOFI;22/12/1969;RSA;5;;Port Elizabeth (RSA);22/02/1999;1045
95;4995;28:57.74;Themba MIYA;04/01/1982;RSA;4;;Port Elizabeth (RSA);25/04/2003;1045
96;4997;28:57.76;Tatsunori SHINOURA;02/09/1982;JPN;5f9;;Tokyo (JPN);04/12/2004;1045
97;4998;28:57.77;Thabiso MOQHALI;07/12/1967;LES;4;;Durban (RSA);21/04/1989;1045
98;4999;28:57.78;Francis Kibiwott LARABAL;15/09/1978;KEN;16;;Hengelo (NED);29/05/2005;1045
99;5000;28:57.8;Konstantin KUKU;01/05/1938;URS;2;;Almaty (KAZ);18/06/1971;1045
0;5000;28:57.8;Ewen WILSON;14/01/1953;AUS;1;;Melbourne (AUS);15/01/1985;1045
1;5002;28:57.81;Jimmy ASHWORTH;08/04/1957;GBR;9;;Bruxelles (BEL);05/09/1986;1045
2;5003;28:57.83;Kobayashi YUTA;21/10/1988;JPN;18f9;;Yokohama (JPN);23/10/2010;1044
3;5004;28:57.86;Marco TOINI;19/08/1965;ITA;5;;Bologna (ITA);23/06/1992;1044
4;5004;28:57.86;Scott STRAND;28/02/1968;USA;6;;Walnut, CA (USA);20/04/2001;1044
5;5006;28:57.89;Abdelhadi EL HACHIMI;15/12/1974;BEL;1;;Naimette-Xhovémont (BEL);03/05/2014;1044
6;5007;28:57.9;Dušan MORAVČÍK;27/05/1948;TCH;2;;Ostrava (TCH);26/08/1977;1044
7;5007;28:57.9;Mohamed ZAIDI;01/01/1953;TUN;3;;St-Maur (FRA);06/07/1978;1044
8;5009;28:57.92;Shoji IMABORI;01/06/1985;JPN;21;;Yokohama (JPN);21/10/2006;1044
9;5010;28:57.95;Carsten ARNDT;25/05/1970;GER;4;;Troisdorf (GER);26/08/1994;1044
10;5011;28:57.96;Tagami TAKAYUKI;29/05/1984;JPN;8;;Yokohama (JPN);09/06/2006;1044
11;5012;28:57.97;David KINSELLA;20/09/1985;USA;25;;Palo Alto, CA (USA);30/03/2007;1044
12;5013;28:57.99;Robert CHEMONGES;15/10/1997;UGA;5f4;;Fucecchio (ITA);09/04/2016;1044
13;5014;28:58.0;Aleksandr ARTINYUK;08/09/1935;URS;1;;Moskva (URS);03/07/1960;1044
14;5014;28:58.0;Valeriy CHUDIN;26/06/1941;URS;1;;Moskva (URS);20/08/1970;1044
15;5014;28:58.0;Salavat SHAIYMARDANOV;28/01/1945;URS;8;;Sochi (URS);29/05/1977;1044
16;5014;28:58.0;Greg ERWIN;31/12/1959;USA;6;;Eugene, OR (USA);21/03/1981;1044
17;5014;28:58.0;Zacharia TZIKALANGA;;RSA;3;;Durban (RSA);25/04/1981;1044
18;5019;28:58.03;Paulo Roberto DE ALMEIDA PAULA;08/07/1979;BRA;4;;Rio de Janeiro (BRA);26/09/2002;1044
19;5020;28:58.08;Ryoto YOSHIOKA;02/06/1998;JPN;1f2;;Prefectural Stadium, Isahaya (JPN);11/10/2020;1044
20;5021;28:58.1;Shivnath SINGH;11/07/1946;IND;1;;Patiala (IND);05/11/1978;1044
21;5021;28:58.1;Kim MCDONALD;27/09/1956;GBR;1;;London (GBR);08/09/1982;1044
22;5021;28:58.1;Fernando MIGUEL;13/05/1959;POR;1;;Lisboa (POR);10/09/1983;1044
23;5024;28:58.10;Jesse MCGUIRE;03/10/1967;USA;4;;Philadelphia, PA (USA);27/04/1989;1044
24;5022;28:58.1;John CHRISTIANSEN;11/12/1964;DEN;1;;Aarhus (DEN);10/08/1990;1044
25;5022;28:58.1;József KOVÁCS;05/06/1967;HUN;8;;Hachioji (JPN);26/11/1995;1044
26;5022;28:58.1;John LOKWAMUK;;KEN;6;;Nairobi (KEN);03/06/2011;1044
27;5028;28:58.15;Paulo Vitor LUNKES;24/10/1977;BRA;3;;Americana (BRA);28/03/2003;1044
28;5028;28:58.15;Takeshi NISHIDA;10/04/1998;JPN;8;;Nagaragawa Stadium, Gifu (JPN);12/09/2019;1044
29;5030;28:58.16;Jundai MURAKAMI;10/06/1998;JPN;24f12;;Kawasaki (JPN);24/11/2018;1044
30;5031;28:58.17;Javier SAN MARTÍN;08/06/1962;ESP;1;;La Coruña (ESP);05/04/1986;1044
31;5031;28:58.17;Tsuyoshi KATO;04/02/1980;JPN;8;;Maebashi (JPN);10/10/2004;1044
32;5031;28:58.17;Zhenfei QI;18/03/1994;CHN;1f1;;Shaoxing (CHN);17/04/2016;1044
33;5034;28:58.19;Chris SEATON;23/12/1978;USA;12;;Palo Alto, CA (USA);29/03/2002;1044
34;5034;28:58.19;Yusuke ICHII;01/01/1983;JPN;9;;Tokyo (JPN);02/07/2004;1044
35;5036;28:58.2;Luigi LAURO;31/01/1951;ITA;2;;Firenze (ITA);24/07/1975;1044
36;5036;28:58.2;Gerald UMBACH;04/06/1952;GDR;7;;Potsdam (GDR);01/06/1977;1044
37;5036;28:58.2;Curt CORVIN;29/10/1964;USA;19;;Walnut, CA (USA);26/04/1986;1044
38;5036;28:58.2;Makoto NISHIZAWA;16/05/1975;JPN;8;;Nobeoka (JPN);11/11/1995;1044
39;5040;28:58.20;Ricard PINTADO;10/05/1965;ESP;3;;Barcelona (ESP);22/03/1997;1044
40;5040;28:58.20;Kenta MUTO;14/02/1994;JPN;5f10;;Kanagawa (JPN);21/11/2015;1044
41;5042;28:58.22;Glarius ROP;28/03/1984;KEN;1;;Philadelphia, PA (USA);25/04/2013;1044
42;5042;28:58.22;Suresh KUMAR;01/07/1991;IND;5;;Incheon (KOR);02/10/2014;1044
43;5044;28:58.23;Zelalem MARTEL;01/01/1986;GER;23f1;;Neerpelt (BEL);31/05/2008;1044
44;5045;28:58.25;Hideki ITAGAKI;08/11/1970;JPN;27;;Toyama (JPN);30/09/1995;1044
45;5045;28:58.25;Daisuke SASAKI;24/06/1997;JPN;25f12;;Kawasaki (JPN);24/11/2018;1044
46;5047;28:58.26;Martin KIPKORIR;;KEN;5;;Nairobi (KEN);02/06/2010;1044
47;5048;28:58.28;Tomohiko SUMI;23/01/1985;JPN;6f9;;Tokyo (JPN);04/12/2004;1044
48;5048;28:58.28;Yuki TAKAHASHI;04/09/1999;JPN;5f3;;Kokushikan University Stadium, Tama (JPN);31/10/2020;1044
49;5050;28:58.29;Vinny MULVEY;18/03/1978;IRL;1;;Watford (GBR);10/06/2006;1044
50;5051;28:58.30;Jaime LÓPEZ;05/04/1955;ESP;4;;San Sebastián (ESP);29/08/1987;1044
51;5051;28:58.30;Yasushi HASHIMOTO;27/08/1965;JPN;13;;Kobe (JPN);30/04/1989;1044
52;5053;28:58.32;Igor DYACHKOV;01/01/1958;URS;11;;Moskva (URS);16/09/1981;1044
53;5053;28:58.32;Alan LYNCH;01/01/1954;AUS;6;;Melbourne (AUS);12/12/1987;1044
54;5055;28:58.36;Stephen ONDIEKI;;KEN;1;;Centerville, MA (USA);19/05/2000;1044
55;5055;28:58.36;Dai NAKAHARA;02/12/1990;JPN;13;;Yokohama (JPN);30/11/2013;1044
56;5057;28:58.37;Yuki HAMAGUCHI;25/02/1981;JPN;7;;Isahaya (JPN);30/11/2002;1044
57;5058;28:58.39;Pete WEILENMANN;08/04/1966;USA;2;;Raleigh, NC (USA);29/03/1996;1044
58;5058;28:58.39;Jackson KIPROP;20/10/1986;UGA;5;;Kampala (UGA);22/07/2011;1044
59;5058;28:58.39;Taiga NAKANISHI;27/05/2000;JPN;6f3;;Athletics Stadium, Fukagawa (JPN);08/07/2020;1044
60;5061;28:58.4;Jean VAILLANT;23/04/1932;FRA;3;;Rennes (FRA);17/06/1964;1044
61;5061;28:58.4;Ramon TASENDE;15/09/1944;ESP;4;;Pontevedra (ESP);11/04/1971;1044
62;5061;28:58.4;Patrick MARTIN;14/04/1949;FRA;4;;St-Maur (FRA);14/05/1975;1044
63;5061;28:58.4;József MÁJER;02/03/1957;HUN;2;;Budapest (HUN);24/09/1980;1044
64;5061;28:58.4;Michael NGAASEKE;07/04/1976;ZIM;2;;Burjassot (ESP);13/03/2004;1044
65;5066;28:58.43;Michael SKINNER;21/11/1979;GBR;13f2;;Palo Alto, CA (USA);01/05/2010;1044
66;5066;28:58.43;Evan LANDES;13/02/1993;USA;4f2;;Palo Alto, CA (USA);01/04/2016;1044
67;5066;28:58.43;Yohei KOYAMA;26/12/1992;JPN;3f2;;Kitami (JPN);14/07/2016;1044
68;5066;28:58.43;David MUFUFU;;KEN;16f1;;Fukagawa (JPN);11/07/2018;1044
69;5070;28:58.44;An HU;29/06/1974;CHN;9;;Shanghai (CHN);18/10/1997;1044
70;5071;28:58.48;Mike KRISCH;10/12/1986;USA;3f2;;Palo Alto, CA (USA);28/03/2009;1044
71;5071;28:58.48;Yuki KIMURA;29/01/1993;JPN;6f13;;Yokohama (JPN);03/12/2016;1044
72;5073;28:58.49;Tetsuya KIMURA;14/01/1989;JPN;19f14;;Yokohama (JPN);03/12/2016;1043
73;5074;28:58.5;Dan RINCON;05/01/1953;USA;7;;Philadelphia, PA (USA);24/04/1980;1043
74;5074;28:58.5;Pier-Giovanni POLI;05/11/1957;ITA;1;;Brescia (ITA);05/07/1986;1043
75;5076;28:58.51;Brad HUDSON;30/09/1966;USA;1;;Eugene, OR (USA);17/03/1990;1043
76;5076;28:58.51;Gabriele DE NARD;03/11/1974;ITA;9;;Stadion Rošický, Praha (CZE);14/06/1999;1043
77;5078;28:58.52;Roland GÜNTHER;05/07/1963;GER;4;;Rostock (GER);22/06/1989;1043
78;5079;28:58.53;Hakan BÖRJESSON;22/07/1963;SWE;3;;Gävle (SWE);30/07/1987;1043
79;5080;28:58.58;Jesus SOLIS;;USA;4;;Walnut, CA (USA);14/04/2006;1043
80;5080;28:58.58;Yasuyuki YAMAMOTO;14/12/1981;JPN;16;;Miyoshi (JPN);17/05/2008;1043
81;5082;28:58.6;Yevgeniy ZHUKOV;20/08/1930;URS;2;;Stockholm (SWE);19/08/1958;1043
82;5082;28:58.6;Ian BLACKWOOD;25/06/1941;AUS;1;;Melbourne (AUS);14/12/1965;1043
83;5082;28:58.6;Ryszard CHUDECKI;18/01/1947;POL;6;;Bydgoszcz (POL);27/06/1975;1043
84;5082;28:58.6;David HOPKINS;09/10/1949;GBR;1;;Cwmbran (GBR);17/09/1977;1043
85;5082;28:58.6;Anatoliy ARYUKOV;17/11/1952;URS;2;;Podolsk (URS);24/08/1980;1043
86;5082;28:58.6;Herb WILLS;29/04/1960;USA;7;;Knoxville, TN (USA);09/04/1982;1043
87;5082;28:58.6;Tomoyuki HARADA;18/06/1968;JPN;1;;Fukuoka (JPN);15/04/1990;1043
88;5082;28:58.6;Futayasu TAGUCHI;12/01/1975;JPN;5f2;;Hachioji (JPN);27/11/1994;1043
89;5082;28:58.6;Elisha SAWE;01/01/1982;KEN;2;;Nairobi (KEN);27/06/2003;1043
90;5091;28:58.60;Yevgeniy DOGA;08/03/1984;RUS;6;;Cheboksary (RUS);22/06/2016;1043
91;5092;28:58.61;Shuxin MO;18/03/1979;CHN;10;;Shanghai (CHN);18/10/1997;1043
92;5093;28:58.63;Ryszard MISIEWICZ;10/03/1957;POL;4;;Warszawa (POL);28/08/1982;1043
93;5093;28:58.63;Waldemar NIKLEWICZ;06/10/1961;POL;3;;Sopot (POL);24/08/1986;1043
94;5093;28:58.63;Kota FUJIMAKI;09/02/1977;JPN;10;;Konosu (JPN);29/09/2001;1043
95;5093;28:58.63;Turo INKILÄINEN;21/09/1980;FIN;3;;Helsinki (FIN);11/08/2003;1043
96;5097;28:58.64;Shane NANKERVIS;06/05/1974;AUS;5;;Sydney (AUS);26/02/2004;1043
97;5098;28:58.66;Hédi KHALFALLAH;01/01/1975;TUN;2;;Troisdorf (GER);25/08/2001;1043
98;5098;28:58.66;Kazuma OHATA;22/03/1997;JPN;11f8;;NITTAIDAI Athletic Stadium, Yokohama (JPN);14/11/2020;1043
99;5100;28:58.7;Steve FOSTER;17/04/1952;USA;3;;Gainesville, FL (USA);29/03/1980;1043
0;5100;28:58.7;Martin COULDWELL;08/10/1952;NZL;3;;London (GBR);08/09/1982;1043
1;5100;28:58.7;Patrick ARIS;05/10/1956;NED;3;;Amersfoort (NED);13/05/1987;1043
2;5103;28:58.70;Abebe MEKONNEN;09/01/1964;ETH;2;;Nairobi (KEN);07/08/1987;1043
3;5103;28:58.70;James KIBET;05/06/1986;UGA;4;;Kampala (UGA);25/07/2008;1043
4;5103;28:58.70;Yusuke SATO;20/10/1990;JPN;16f2;;Hachioji (JPN);01/12/2013;1043
5;5106;28:58.72;Michael CROUCH;03/01/1988;USA;29f2;;Palo Alto, CA (USA);01/05/2011;1043
6;5107;28:58.73;Kelly LAMBERT;01/01/1975;USA;16;;Palo Alto, CA (USA);08/05/1999;1043
7;5108;28:58.74;Jose NOGUEIRA;05/10/1972;POR;18;;Maia (POR);19/07/1995;1043
8;5108;28:58.74;Minoru IKEBE;21/11/1984;JPN;23f11;;Yokohama (JPN);04/12/2010;1043
9;5110;28:58.75;Lawrence REILLY;07/08/1954;GBR;13;;London (GBR);01/08/1975;1043
10;5111;28:58.79;Yuriy CHECHUN;05/07/1986;RUS;5;;Moskva (RUS);11/06/2013;1043
11;5111;28:58.79;Dan CHEBET;02/04/2002;UGA;2;;Mandela National Stadium, Kampala (UGA);01/06/2019;1043
12;5111;28:58.79;Ren KURATA;12/12/2000;JPN;15f8;;NITTAIDAI Athletic Stadium, Yokohama (JPN);05/12/2020;1043
13;5114;28:58.8;Dénes SIMON;22/03/1939;HUN;3;;Budapest (HUN);14/06/1969;1043
14;5114;28:58.8;Ottó PFEFFER;17/01/1945;HUN;2;;Budapest (HUN);15/10/1975;1043
15;5114;28:58.8;Graham CLEWS;17/02/1958;AUS;3;;Melbourne (AUS);02/03/1985;1043
16;5114;28:58.8;Katsuhiro SHIMAGUCHI;01/01/1965;JPN;1;;Hachioji (JPN);29/11/1987;1043
17;5118;28:58.80;Joan Ramón MOYA;14/09/1965;ESP;2;;Barcelona (ESP);22/03/1997;1043
18;5115;28:58.8;Geoffrey KIPLAGAT;;KEN;h;;Nairobi (KEN);24/06/1999;1043
19;5115;28:58.8;Tetsu MORIMURA;22/10/1980;JPN;1f6;;Yokohama (JPN);29/09/2002;1043
20;5120;28:58.80;Shota NAKANO;22/07/2000;JPN;6;;Chuo University Stadium, Hachioji (JPN);08/03/2020;1043
21;5122;28:58.81;Kazuma KITAMURA;13/04/1994;JPN;13;;Yokohama (JPN);12/11/2016;1043
22;5123;28:58.82;Cansas NHLAPO;01/01/1988;RSA;5;;Port Elizabeth (RSA);16/02/2008;1043
23;5124;28:58.84;Zolani BHITANE;05/10/1985;RSA;2;;Port Elizabeth (RSA);12/03/2004;1043
24;5124;28:58.84;Koji GOKAYA;22/02/1988;JPN;6f8;;Yokohama (JPN);23/11/2008;1043
25;5126;28:58.85;Ernesto RUSSO;26/05/1965;ITA;6;;Bologna (ITA);27/06/1992;1043
26;5127;28:58.87;Flemming JENSEN;19/11/1958;DEN;1;;Herlev (DEN);09/08/1991;1043
