Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
5391,Samson RAMADHANI,25/12/1982,TAN,1,Dar Es Salaam (TAN),11/11/2002,1038,20.0,2002,2000-2009,20-25,29:02:29,1742.29
5392,Kyosuke TESHIMA,14/06/1999,JPN,8,"Denka Big Swan Stadium, Niigata (JPN)",11/09/2020,1038,21.0,2020,2020+,20-25,29:02:30,1742.3
5393,Yuki KAWAUCHI,05/03/1987,JPN,10,Shibetsu (JPN),20/06/2010,1038,23.0,2010,2010-2019,20-25,29:02:33,1742.33
5394,Will REYES,nan,USA,5f2,"Palo Alto, CA (USA)",01/04/2016,1038,,2016,2010-2019,40+,29:02:34,1742.34
5395,Eduardo BUENAVISTA,13/10/1978,PHI,8,Busan (KOR),07/10/2002,1038,24.0,2002,2000-2009,20-25,29:02:36,1742.36
5396,Kent CLAESSON,29/07/1971,SWE,2,Espoo (FIN),18/05/2002,1038,31.0,2002,2000-2009,31-35,29:02:39,1742.39
5397,Ayele BEKELE,01/01/1988,ETH,7,Casablanca (MAR),22/06/2008,1038,20.0,2008,2000-2009,20-25,29:02:41,1742.41
5398,Zhuhong LI,22/10/1983,CHN,2,Changsha (CHN),23/10/2003,1038,20.0,2003,2000-2009,20-25,29:02:43,1742.43
5399,Nico SONNENBERG,11/09/1991,GER,3,Aichach (GER),03/05/2014,1038,22.0,2014,2010-2019,20-25,29:02:44,1742.44
5400,Christopher CHEBOIBOCH,03/03/1977,KEN,2,Keiyo (KEN),28/06/2003,1038,26.0,2003,2000-2009,26-30,29:02:5,1742.5
5400,Solmon DESETA,nan,ETH,7,Addis Abeba (ETH),04/05/2011,1038,,2011,2010-2019,40+,29:02:5,1742.5
5402,Ryusuke SADANAGA,nan,JPN,8f10,Kanagawa (JPN),21/11/2015,1038,,2015,2010-2019,40+,29:02:52,1742.52
5403,Delfino AREVALO,11/01/1982,USA,10,"Walnut, CA (USA)",15/04/2005,1038,22.0,2005,2000-2009,20-25,29:02:53,1742.53
5404,Jordan HORN,17/04/1984,USA,1,"Eugene, OR (USA)",20/04/2007,1037,23.0,2007,2000-2009,20-25,29:02:57,1742.57
5405,Kyle SHACKLETON,21/01/1986,USA,5f2,"Palo Alto, CA (USA)",28/03/2009,1037,23.0,2009,2000-2009,20-25,29:02:58,1742.58
5406,David RAMARD,03/02/1978,FRA,5,St-Maur (FRA),16/06/2006,1037,28.0,2006,2000-2009,26-30,29:02:59,1742.59
5406,Shunsuke MIYASAKA,01/06/1991,JPN,6f5,Yokohama (JPN),26/10/2013,1037,23.0,2013,2010-2019,20-25,29:02:59,1742.59
5408,Guoxiong SU,26/05/1992,CHN,1f1,Wuhan (CHN),29/04/2012,1037,20.0,2012,2010-2019,20-25,29:02:60,1742.6
5408,Saby LUNA,06/02/1990,MEX,10f2,"Torrance, CA (USA)",18/04/2019,1037,29.0,2019,2010-2019,26-30,29:02:60,1742.6
5410,Kiyotaka SASAKI,nan,JPN,2f14,Yokohama (JPN),02/12/2017,1037,,2017,2010-2019,40+,29:02:63,1742.63
5411,Kazumasa ASAKURA,22/04/1992,JPN,1f2,"Hosei University Stadium, Machida (JPN)",23/11/2019,1037,28.0,2019,2010-2019,26-30,29:02:67,1742.67
5412,Dennis RUTOH,29/10/1987,KEN,f1,Pacé (FRA),13/04/2019,1037,31.0,2019,2010-2019,31-35,29:02:71,1742.71
5413,Garrett REYNOLDS,nan,USA,5,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",02/04/2021,1037,,2021,2020+,40+,29:02:74,1742.74
5414,Shuta BABA,01/12/1981,JPN,4f3,Saitama (JPN),29/04/2014,1037,33.0,2014,2010-2019,31-35,29:02:78,1742.78
5415,Stan ELDON,01/05/1936,GBR,4,Stockholm (SWE),19/08/1958,1037,23.0,1958,2020+,20-25,29:02:8,1742.8
5416,Steve ALEXANDER,nan,USA,3,"Raleigh, NC (USA)",28/03/1997,1037,,1997,1990-1999,40+,29:02:81,1742.81
5417,Shota YAMADA,06/12/1987,JPN,22f5,Yokohama (JPN),20/11/2010,1037,23.0,2010,2010-2019,20-25,29:02:84,1742.84
5418,Tomohiro KISHIMOTO,28/01/1992,JPN,2f12,Tokyo (JPN),23/11/2011,1037,20.0,2011,2010-2019,20-25,29:02:89,1742.89
5419,Ben LINDSAY,06/03/1988,GBR,3f2,Parliament Hill (GBR),16/05/2015,1037,27.0,2015,2010-2019,26-30,29:02:93,1742.93
5420,Jack MASTANDREA,nan,USA,7f2,"Paul Derr TF Facility, Raleigh, NC (USA)",26/03/2021,1037,,2021,2020+,40+,29:02:95,1742.95
5421,Dmitriy BURMAKIN,08/01/1981,RUS,3,Tula (RUS),14/06/2005,1037,24.0,2005,2000-2009,20-25,29:02:96,1742.96
5422,José Maria RODRÍGUEZ-PÉREZ,24/03/1968,ESP,6,Barakaldo (ESP),24/06/2006,1037,38.0,2006,2000-2009,36-41,29:02:99,1742.99
5423,Pat TYSON,21/05/1950,USA,3,"Hayward Field, Eugene, OR (USA)",27/04/1974,1037,24.0,1974,1970-1979,20-25,29:03:0,1743.0
5424,Edmond KIPNGETICH,30/04/1994,KEN,2f3,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",12/03/2021,1037,28.0,2021,2020+,26-30,29:03:02,1743.02
5425,Ryo SAITO,07/04/1998,JPN,10f5,"Kamiyugi Park Athletic Stadium, Hachioji (JPN)",21/11/2020,1037,22.0,2020,2020+,20-25,29:03:03,1743.03
5426,Atiq NAAJI,21/11/1966,FRA,12,Villeneuve d'Ascq (FRA),29/06/1997,1037,31.0,1997,1990-1999,31-35,29:03:04,1743.04
5426,Sigurd Ruud SKJESETH,24/12/1996,NOR,4f3,"Fana Stadion, Bergen (NOR)",20/09/2020,1037,24.0,2020,2020+,20-25,29:03:04,1743.04
5428,Tim-Arne SIDENSTEIN,01/01/1989,GER,4,Aichach (GER),03/05/2014,1037,25.0,2014,2010-2019,20-25,29:03:05,1743.05
5429,Aleksey SOKOLOV,14/11/1979,RUS,2,Cheboksary (RUS),11/07/2002,1037,23.0,2002,2000-2009,20-25,29:03:07,1743.07
5429,Soimo KIPLAGAT,nan,KEN,3,"Walnut, CA (USA)",17/04/2008,1037,,2008,2000-2009,40+,29:03:07,1743.07
5431,Junichi ISHIYAMA,17/11/1991,JPN,14,Yokohama (JPN),12/11/2016,1037,25.0,2016,2010-2019,20-25,29:03:09,1743.09
5432,Benjamin KIPLAGAT,04/03/1989,UGA,1,Bugembe (UGA),29/07/2006,1037,17.0,2006,2000-2009,0-19,29:03:1,1743.1
5433,Junji KONOMI,24/09/1980,JPN,19,Hachioji (JPN),30/11/2005,1037,25.0,2005,2000-2009,20-25,29:03:13,1743.13
5434,Shota SAITO,17/01/1993,JPN,1f14,Tokyo (JPN),24/11/2012,1037,20.0,2012,2010-2019,20-25,29:03:14,1743.14
5435,Kaede YOSHIDA,23/09/1994,JPN,4f8,Yokohama (JPN),25/04/2015,1037,21.0,2015,2010-2019,20-25,29:03:16,1743.16
5436,Alex KORIR,22/09/1982,KEN,23,"Palo Alto, CA (USA)",25/03/2005,1037,23.0,2005,2000-2009,20-25,29:03:18,1743.18
5437,Michael BIWOTT,nan,USA,2,"Philadelphia, PA (USA)",25/04/2013,1037,,2013,2010-2019,40+,29:03:19,1743.19
5438,Stanisław OŻÓG,11/04/1930,POL,5,Stockholm (SWE),19/08/1958,1037,28.0,1958,2020+,26-30,29:03:2,1743.2
5438,Danny LOPEZ,25/09/1968,USA,14,Barakaldo (ESP),08/07/2000,1037,32.0,2000,2000-2009,31-35,29:03:2,1743.2
5438,Gemechu EDEO,nan,ETH,6,Addis Abeba (ETH),17/04/2018,1037,,2018,2010-2019,40+,29:03:2,1743.2
5441,Maverick DARLING,09/06/1989,USA,25f1,"Palo Alto, CA (USA)",01/05/2016,1037,26.0,2016,2010-2019,26-30,29:03:22,1743.22
5442,Swarnjit BOYAL,01/01/1995,USA,11f1,"Portland, OR (USA)",08/06/2019,1036,25.0,2019,2010-2019,20-25,29:03:27,1743.27
5443,Nobuhiko MATSUNAGA,14/02/1976,JPN,4,Oita (JPN),29/06/2002,1036,26.0,2002,2000-2009,26-30,29:03:30,1743.3
5444,Mike MURPHY,nan,USA,11f1,"Palo Alto, CA (USA)",29/03/2013,1036,,2013,2010-2019,40+,29:03:33,1743.33
5445,Shunpei MAEDA,05/06/1998,JPN,5f2,Yokohama (JPN),21/04/2018,1036,20.0,2018,2010-2019,20-25,29:03:35,1743.35
5446,Mykola RUDYK,20/12/1973,UKR,4,Donetsk (UKR),10/06/2002,1036,29.0,2002,2000-2009,26-30,29:03:36,1743.36
5447,Hermano FERREIRA,16/11/1982,POR,6,Bilbao (ESP),23/06/2007,1036,25.0,2007,2000-2009,20-25,29:03:38,1743.38
5448,Will GEIKEN,01/05/1993,USA,9,"Portland, OR (USA)",09/06/2018,1036,26.0,2018,2010-2019,26-30,29:03:41,1743.41
5448,Per SVELA,19/03/1992,NOR,5f3,"Fana Stadion, Bergen (NOR)",20/09/2020,1036,29.0,2020,2020+,26-30,29:03:41,1743.41
5450,Abel Kiprop MUTAI,02/10/1988,KEN,10,Nairobi (KEN),22/06/2019,1036,31.0,2019,2010-2019,31-35,29:03:42,1743.42
5451,Marco Antonio RUFO,09/03/1968,ESP,10,Barakaldo (ESP),13/07/2002,1036,34.0,2002,2000-2009,31-35,29:03:43,1743.43
5452,Craig CURLEY,21/05/1985,USA,3,"Walnut, CA (USA)",18/04/2013,1036,28.0,2013,2010-2019,26-30,29:03:45,1743.45
5453,Makoto MITSUNOBU,18/07/1995,JPN,6f2,Fukagawa (JPN),09/07/2015,1036,20.0,2015,2010-2019,20-25,29:03:47,1743.47
5454,Freddy GUIMARD,26/12/1986,FRA,2,Paris (FRA),27/04/2016,1036,29.0,2016,2010-2019,26-30,29:03:54,1743.54
5455,Phillip STARR,27/09/1974,NZL,4,Melbourne (AUS),18/12/1997,1036,23.0,1997,1990-1999,20-25,29:03:57,1743.57
5456,Eric LOGSDON,04/05/1982,USA,2,"Eugene, OR (USA)",20/04/2007,1036,25.0,2007,2000-2009,20-25,29:03:58,1743.58
5457,Enrique SÁNCHEZ,14/10/1983,ESP,12,Lisboa (POR),24/03/2012,1036,28.0,2012,2010-2019,26-30,29:03:59,1743.59
5458,Young-jin KIM,27/09/1983,KOR,16f2,Abashiri (JPN),06/07/2014,1036,31.0,2014,2010-2019,31-35,29:03:62,1743.62
5459,Sam STABLER,17/05/1992,GBR,2f1,Stretford (GBR),19/08/2017,1036,25.0,2017,2010-2019,20-25,29:03:64,1743.64
5460,William MACREERY,nan,USA,7,"Walnut, CA (USA)",14/04/2006,1036,,2006,2000-2009,40+,29:03:65,1743.65
5461,Kotaro WAKITA,27/07/2000,JPN,12f3,"Kokushikan University Stadium, Tama (JPN)",31/10/2020,1036,20.0,2020,2020+,20-25,29:03:66,1743.66
5462,John FRAZER,01/01/1981,IRL,21,"Palo Alto, CA (USA)",01/05/2005,1036,24.0,2005,2000-2009,20-25,29:03:67,1743.67
5462,Ryan COLLINS,20/02/1989,USA,3,"Madison, WI (USA)",11/05/2012,1036,24.0,2012,2010-2019,20-25,29:03:67,1743.67
5464,Takumi KATO,17/07/1996,JPN,20,Yokohama (JPN),05/12/2015,1036,19.0,2015,2010-2019,0-19,29:03:68,1743.68
5465,Henry MAIYO,nan,KEN,3,Nairobi (KEN),02/06/2007,1036,,2007,2000-2009,40+,29:03:7,1743.7
5466,Jean Pierre MVUYEKURE,28/07/1987,RWA,8,"Stadio Zecchini, Grosseto (ITA)",14/07/2004,1036,17.0,2004,2000-2009,0-19,29:03:73,1743.73
5467,Hugo BEAMISH,18/01/1989,NZL,8,Melbourne (AUS),08/12/2012,1036,24.0,2012,2010-2019,20-25,29:03:75,1743.75
5468,Joseph STEWART,nan,USA,11f1,"Palo Alto, CA (USA)",01/04/2016,1036,,2016,2010-2019,40+,29:03:79,1743.79
5469,. AGUILAR,nan,CHI,1,Buenos Aires (ARG),20/04/1996,1036,,1996,1990-1999,40+,29:03:80,1743.8
5469,Luis Fernando DE ALMEIDA PAULA,08/07/1979,BRA,3,São Paulo (BRA),12/06/2003,1036,24.0,2003,2000-2009,20-25,29:03:80,1743.8
5471,Shoji AKUTSU,01/10/1985,JPN,8,Yokohama (JPN),29/04/2007,1036,22.0,2007,2000-2009,20-25,29:03:82,1743.82
5472,Akifumi OGUSHI,nan,JPN,1f3,Fukagawa (JPN),25/06/2011,1036,,2011,2010-2019,40+,29:03:86,1743.86
5473,Brian EIMSTAD,nan,USA,15,"Portland, OR (USA)",10/06/2017,1036,,2017,2010-2019,40+,29:03:90,1743.9
5473,Victor SHITSAMA,nan,USA,3,"Mike A. Myers Stadium, Austin, TX (USA)",25/03/2021,1036,,2021,2020+,40+,29:03:90,1743.9
5475,Sebastiano MAZZARA,13/05/1975,ITA,6,Bologna (ITA),24/06/1999,1035,24.0,1999,1990-1999,20-25,29:03:91,1743.91
5475,Tomoya YAMAGUCHI,26/06/1986,JPN,10f10,Yokohama (JPN),04/12/2010,1035,24.0,2010,2010-2019,20-25,29:03:91,1743.91
5477,Tsuyoshi IGARASHI,01/02/1982,JPN,13,Yokohama (JPN),23/10/2005,1035,24.0,2005,2000-2009,20-25,29:03:95,1743.95
5478,Masanori TAMURA,01/01/1990,JPN,23f5,Yokohama (JPN),20/11/2010,1035,21.0,2010,2010-2019,20-25,29:03:98,1743.98
5479,Shungo YOKOTA,22/04/2000,JPN,13f3,"Kokushikan University Stadium, Tama (JPN)",31/10/2020,1035,21.0,2020,2020+,20-25,29:03:99,1743.99
5480,István KISS,07/05/1940,HUN,10,Budapest (HUN),17/06/1967,1035,27.0,1967,1960-1969,26-30,29:04:0,1744.0
5481,Nobuyuki MATSUMOTO,08/08/1991,JPN,12f12,Yokohama (JPN),01/12/2012,1035,20.0,2012,2010-2019,20-25,29:04:00,1744.0
5482,Pardon NDHLOVU,23/08/1987,ZIM,3,"Philadelphia, PA (USA)",25/04/2013,1035,26.0,2013,2010-2019,26-30,29:04:01,1744.01
5483,Gregory ROUAULT,14/08/1980,FRA,21,"Palo Alto, CA (USA)",02/05/2003,1035,22.0,2003,2000-2009,20-25,29:04:02,1744.02
5483,Tomas LUNA DOMINGUEZ,09/03/1975,MEX,2,San José del Cabo (MEX),21/05/2010,1035,35.0,2010,2010-2019,31-35,29:04:02,1744.02
5483,Fatih BILGIC,01/06/1985,TUR,1f2,Oslo (NOR),04/06/2011,1035,26.0,2011,2010-2019,26-30,29:04:02,1744.02
5483,Alan PETERSON,04/11/1991,USA,7f1,"Raleigh, NC (USA)",24/03/2017,1035,26.0,2017,2010-2019,26-30,29:04:02,1744.02
5487,Philimon KIPKORIR,18/01/1988,KEN,9,Nairobi (KEN),11/07/2019,1035,32.0,2019,2010-2019,31-35,29:04:05,1744.05
5488,Naoki YAMASHITA,05/10/1983,JPN,1f3,Kushiro (JPN),16/07/2008,1035,25.0,2008,2000-2009,20-25,29:04:06,1744.06
5489,Jason PERSCHEID,02/07/1975,USA,20,"Palo Alto, CA (USA)",05/05/2000,1035,25.0,2000,2000-2009,20-25,29:04:09,1744.09
5490,John CHEPKWONY,01/01/1991,KEN,11,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",03/07/2019,1035,28.0,2019,2010-2019,26-30,29:04:1,1744.1
5491,Brian BARRAZA,16/05/1995,USA,12f1,"Palo Alto, CA (USA)",01/04/2016,1035,21.0,2016,2010-2019,20-25,29:04:11,1744.11
5492,Antonio VEGA,07/12/1983,USA,35,"Palo Alto, CA (USA)",29/04/2007,1035,24.0,2007,2000-2009,20-25,29:04:13,1744.13
5493,Yuta AIDE,nan,JPN,1,Kobe (JPN),23/04/2011,1035,,2011,2010-2019,40+,29:04:16,1744.16
5494,Koji KAGEYAMA,01/11/1983,JPN,43,Yokohama (JPN),26/11/2006,1035,24.0,2006,2000-2009,20-25,29:04:17,1744.17
5495,Xinglong WEN,28/01/1991,CHN,2,Zibo (CHN),24/09/2010,1035,20.0,2010,2010-2019,20-25,29:04:20,1744.2
5496,Mircea BOGDAN,06/05/1982,ROU,35,"Palo Alto, CA (USA)",30/04/2004,1035,22.0,2004,2000-2009,20-25,29:04:21,1744.21
5496,Mohamed MOHUMED,24/03/1999,GER,11,Gävle (SWE),11/07/2019,1035,21.0,2019,2010-2019,20-25,29:04:21,1744.21
5498,Francis Robert NAALI,01/04/1971,TAN,3,Dar Es Salaam (TAN),11/11/2002,1035,32.0,2002,2000-2009,31-35,29:04:25,1744.25
5499,Takahiro NAGAMINE,28/07/1981,JPN,38,Yokohama (JPN),30/11/2002,1035,21.0,2002,2000-2009,20-25,29:04:26,1744.26
5499,Marc RODRIGUES,09/02/1982,RSA,2,"Fayetteville, AR (USA)",12/05/2006,1035,24.0,2006,2000-2009,20-25,29:04:26,1744.26
5501,Djamel BACHIRI,22/05/1977,FRA,3,St-Amand-les-Eaux (FRA),25/06/2011,1035,34.0,2011,2010-2019,31-35,29:04:30,1744.3
5501,Dorian BOULVIN,05/06/1997,BEL,12,Gävle (SWE),11/07/2019,1035,23.0,2019,2010-2019,20-25,29:04:30,1744.3
5503,Jifu MA,04/11/1985,CHN,2f1,Hangzhou (CHN),11/04/2008,1035,24.0,2008,2000-2009,20-25,29:04:35,1744.35
5503,Linus MARUKA,nan,KEN,5f1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",12/03/2021,1035,,2021,2020+,40+,29:04:35,1744.35
5505,Andrew EPPERSON,24/11/1990,USA,10,"Portland, OR (USA)",09/06/2018,1035,28.0,2018,2010-2019,26-30,29:04:39,1744.39
5506,John VAN DER WANSEM,05/07/1950,NED,2,Amersfoort (NED),24/05/1988,1035,38.0,1988,1980-1989,36-41,29:04:4,1744.4
5506,Patrick TAMBWÉ,05/05/1975,COD,1,St-Maur (FRA),16/03/2002,1035,27.0,2002,2000-2009,26-30,29:04:4,1744.4
5506,Joseph KIPTONIK,nan,KEN,3,Nakuru (KEN),03/04/2009,1035,,2009,2000-2009,40+,29:04:4,1744.4
5509,Ismael QUIÑONES,17/02/1994,ESP,4f1,Maia (POR),09/04/2016,1035,23.0,2016,2010-2019,20-25,29:04:40,1744.4
5507,Alfred KIMANI,nan,KEN,3,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",05/03/2020,1035,,2020,2020+,40+,29:04:4,1744.4
5511,Obed MUTANYA,10/08/1981,ZAM,36,"Palo Alto, CA (USA)",29/04/2007,1035,26.0,2007,2000-2009,26-30,29:04:42,1744.42
5511,Greg MONTGOMERY,nan,USA,16,"Portland, OR (USA)",10/06/2017,1035,,2017,2010-2019,40+,29:04:42,1744.42
5513,Steve LAWRENCE,20/01/1978,CAN,2,"Philadelphia, PA (USA)",22/04/1999,1035,21.0,1999,1990-1999,20-25,29:04:45,1744.45
5514,Luke HUMPHREY,10/04/1981,USA,25,"Palo Alto, CA (USA)",25/03/2005,1035,23.0,2005,2000-2009,20-25,29:04:48,1744.48
5515,Toshiaki SHIBATA,nan,JPN,21f4,"Hosei University Stadium, Machida (JPN)",25/11/2017,1035,,2017,2010-2019,40+,29:04:49,1744.49
5516,Zakaria NYARIKI,nan,KEN,4,Nairobi (KEN),08/06/2006,1035,,2006,2000-2009,40+,29:04:50,1744.5
5517,Sean BURKE,nan,USA,10h1,"Jacksonville, FL (USA)",23/05/2019,1035,,2019,2010-2019,40+,29:04:51,1744.51
5517,Tomoki YASUDA,25/05/1997,JPN,16f8,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1035,23.0,2020,2020+,20-25,29:04:51,1744.51
5519,Dan KREMSKE,28/04/1989,USA,15f2,"Palo Alto, CA (USA)",04/05/2014,1035,25.0,2014,2010-2019,20-25,29:04:52,1744.52
5519,Graham RUSH,08/09/1982,GBR,10f1,Parliament Hill (GBR),20/05/2017,1035,35.0,2017,2010-2019,31-35,29:04:52,1744.52
5521,Brian DUMM,30/01/1983,USA,26,"Palo Alto, CA (USA)",25/03/2005,1035,22.0,2005,2000-2009,20-25,29:04:55,1744.55
5521,Eyob GHEBREHIWET FANIEL,26/11/1992,ITA,3f1,Roma (ITA),13/05/2017,1035,24.0,2017,2010-2019,20-25,29:04:55,1744.55
5523,Oscar KÄCK,17/06/1982,SWE,1,Helsinki (FIN),28/08/2010,1035,28.0,2010,2010-2019,26-30,29:04:56,1744.56
5523,Cameron GRAVES,01/02/1992,NZL,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",14/12/2019,1035,28.0,2019,2010-2019,26-30,29:04:56,1744.56
5525,Ryosuke TAWADA,21/10/1996,JPN,9f7,Saitama (JPN),21/10/2017,1035,21.0,2017,2010-2019,20-25,29:04:58,1744.58
5526,Sammy ROTINO,nan,KEN,2,Kakamega (KEN),11/05/1999,1034,,1999,1990-1999,40+,29:04:6,1744.6
5527,Vital GAHUNGU,01/01/1969,BDI,4,Naimette-Xhovémont (BEL),28/06/2007,1034,38.0,2007,2000-2009,36-41,29:04:60,1744.6
5527,Philo GERMANO,01/05/1995,USA,6f2,"Palo Alto, CA (USA)",01/04/2016,1034,21.0,2016,2010-2019,20-25,29:04:60,1744.6
5529,Simo WANNAS,08/01/1978,FIN,8,"Walnut, CA (USA)",14/04/2006,1034,28.0,2006,2000-2009,26-30,29:04:64,1744.64
5530,Sylvester BARUS,nan,KEN,6f2,"Palo Alto, CA (USA)",31/03/2017,1034,,2017,2010-2019,40+,29:04:65,1744.65
5531,John TRAVERS,16/03/1991,IRL,4f2,Parliament Hill (GBR),16/05/2015,1034,24.0,2015,2010-2019,20-25,29:04:66,1744.66
5532,Yuto OZAWA,nan,JPN,5f8,Yokohama (JPN),25/04/2015,1034,,2015,2010-2019,40+,29:04:69,1744.69
5532,Takeshi SHINGO,18/12/1998,JPN,14f3,"Kokushikan University Stadium, Tama (JPN)",31/10/2020,1034,22.0,2020,2020+,20-25,29:04:69,1744.69
5534,Rui BORGES,27/02/1972,POR,3,Lisboa (POR),10/07/1999,1034,28.0,1999,1990-1999,26-30,29:04:70,1744.7
5535,Victor SAWE,nan,KEN,6f1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",12/03/2021,1034,,2021,2020+,40+,29:04:71,1744.71
5536,Shiwei WU,11/02/1986,CHN,2f1,Jiaxing (CHN),22/05/2011,1034,25.0,2011,2010-2019,20-25,29:04:72,1744.72
5537,Francisco Javier LÓPEZ,27/07/1983,ESP,7,Barakaldo (ESP),24/06/2006,1034,23.0,2006,2000-2009,20-25,29:04:77,1744.77
5537,Yukihito TSUKAMOTO,16/01/1990,JPN,24f5,Yokohama (JPN),20/11/2010,1034,21.0,2010,2010-2019,20-25,29:04:77,1744.77
5539,Shin-ichiro HASUI,07/01/1978,JPN,5,Konosu (JPN),28/09/2002,1034,24.0,2002,2000-2009,20-25,29:04:83,1744.83
5539,Shusei OHASHI,12/04/1990,JPN,2f13,Tokyo (JPN),24/11/2012,1034,22.0,2012,2010-2019,20-25,29:04:83,1744.83
5539,Yuji MUROTA,22/06/1990,JPN,2f2,Hiroshima (JPN),23/11/2013,1034,23.0,2013,2010-2019,20-25,29:04:83,1744.83
5542,Mark FRUIN,08/01/1986,USA,7f2,"Palo Alto, CA (USA)",28/03/2009,1034,23.0,2009,2000-2009,20-25,29:04:84,1744.84
5542,Myles RICHTER,nan,USA,16,"Hayward Field, Eugene, OR (USA)",02/04/2021,1034,,2021,2020+,40+,29:04:84,1744.84
5544,Koen RAYMAEKERS,31/01/1980,NED,2,Watford (GBR),12/06/2004,1034,25.0,2004,2000-2009,20-25,29:04:85,1744.85
5544,Aoto OCHIAI,19/04/1999,JPN,3f10,"Gion Stadium, Sagamihara (JPN)",23/11/2020,1034,22.0,2020,2020+,20-25,29:04:85,1744.85
5546,Franck Caldeira DE ALMEIDA,06/02/1983,BRA,1,Rio de Janeiro (BRA),14/07/2006,1034,23.0,2006,2000-2009,20-25,29:04:88,1744.88
5547,Radosław POPŁAWSKI,16/01/1983,POL,3,Miedzyzdroje (POL),06/05/2006,1034,23.0,2006,2000-2009,20-25,29:04:89,1744.89
5548,Daniel KORIR,nan,UGA,3,Kampala (UGA),24/07/2009,1034,,2009,2000-2009,40+,29:04:9,1744.9
5549,Daichi MOTOMURA,26/01/1992,JPN,12f1,Kobe (JPN),20/04/2013,1034,21.0,2013,2010-2019,20-25,29:04:91,1744.91
5550,Jiahui SUN,08/10/1987,CHN,2,Shenyang (CHN),10/09/2013,1034,26.0,2013,2010-2019,26-30,29:04:92,1744.92
5551,Adrian POTTER,09/03/1995,AUS,13,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",14/12/2019,1034,24.0,2019,2010-2019,20-25,29:04:93,1744.93
5552,Hiroshi DOI,11/07/1980,JPN,7,Tokyo (JPN),17/05/2002,1034,22.0,2002,2000-2009,20-25,29:04:94,1744.94
5552,Satoshi NAMAI,14/08/1981,JPN,39,Yokohama (JPN),30/11/2002,1034,21.0,2002,2000-2009,20-25,29:04:94,1744.94
5552,Akinori OTSU,nan,JPN,5f2,Yamaguchi (JPN),10/10/2014,1034,,2014,2010-2019,40+,29:04:94,1744.94
5552,Hiroki KOGA,28/02/1996,JPN,6f2,Kitakyushu (JPN),19/05/2018,1034,22.0,2018,2010-2019,20-25,29:04:94,1744.94
5556,Ryan CRAIG,18/09/1980,USA,11,"Palo Alto, CA (USA)",28/03/2003,1034,23.0,2003,2000-2009,20-25,29:04:98,1744.98
5557,Daniel CANALA,11/10/1996,AUS,14,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",14/12/2019,1034,23.0,2019,2010-2019,20-25,29:04:99,1744.99
5558,Yuichi WASHIO,01/12/1977,JPN,51,Kobe (JPN),23/04/2006,1034,29.0,2006,2000-2009,26-30,29:05:00,1745.0
5559,Corey DUQUETTE,nan,USA,1,"Philadelphia, PA (USA)",29/04/2006,1034,,2006,2000-2009,40+,29:05:07,1745.07
5559,Yasuaki KOJIMA,16/06/1986,JPN,8f4,Yokohama (JPN),20/11/2010,1034,24.0,2010,2010-2019,20-25,29:05:07,1745.07
5561,Kenta KARASAWA,01/06/1995,JPN,17f7,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",14/11/2020,1034,26.0,2020,2020+,26-30,29:05:08,1745.08
5562,Dickson KIMUTAI,01/01/1986,KEN,7,Nairobi (KEN),02/06/2010,1034,24.0,2010,2010-2019,20-25,29:05:09,1745.09
5563,Julien MOREAU,20/02/1978,FRA,11,Barakaldo (ESP),02/04/2005,1034,27.0,2005,2000-2009,26-30,29:05:13,1745.13
5564,Seiji KOBAYASHI,03/01/1977,JPN,5f2,Fukagawa (JPN),11/06/2008,1034,32.0,2008,2000-2009,31-35,29:05:14,1745.14
5565,Norihiko MATSUDA,07/01/1992,JPN,11f3,"Hosei University Stadium, Machida (JPN)",25/11/2017,1034,25.0,2017,2010-2019,20-25,29:05:15,1745.15
5566,Majed SALEH BASHIR,21/05/1990,BRN,3,Cairo (EGY),01/11/2006,1034,16.0,2006,2000-2009,0-19,29:05:2,1745.2
5567,Jack VAN SCOTER,nan,USA,8f2,"Paul Derr TF Facility, Raleigh, NC (USA)",26/03/2021,1034,,2021,2020+,40+,29:05:21,1745.21
5568,William STRUYVEN,06/05/1974,FRA,15,Villeneuve d'Ascq (FRA),29/06/1997,1034,23.0,1997,1990-1999,20-25,29:05:22,1745.22
5568,Thembelani ZOLA,13/08/1975,RSA,3,Port Elizabeth (RSA),12/03/2004,1034,29.0,2004,2000-2009,26-30,29:05:22,1745.22
5570,Kenji YAMAOKA,27/07/1977,JPN,40,Yokohama (JPN),30/11/2002,1034,25.0,2002,2000-2009,20-25,29:05:25,1745.25
